sample_id,speaker_count,mapping_status,child_speaker_ids,counselor_speaker_ids,mixed_speaker_ids,child_coverage,counselor_coverage,speaker_mapping_json
1583,3,ROLE_MAPPING_OK,"1,2",0,,0.9843,0.9986,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 2.7262, ""counselor_sec"": 183.8759, ""purity"": 0.9854, ""word_count"": 482}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 1.0887, ""counselor_sec"": 0.2633, ""purity"": 0.8052, ""word_count"": 13}, {""speaker"": 2, ""role"": ""CHILD"", ""child_sec"": 169.3102, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 433}]"
0128,2,ROLE_MAPPING_OK,1,0,,0.9588,0.9702,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 4.08, ""counselor_sec"": 106.2159, ""purity"": 0.963, ""word_count"": 267}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 94.8619, ""counselor_sec"": 3.26, ""purity"": 0.9668, ""word_count"": 243}]"
1062,2,ROLE_MAPPING_OK,1,0,,0.985,0.9769,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.714, ""counselor_sec"": 157.1401, ""purity"": 0.9892, ""word_count"": 462}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 112.302, ""counselor_sec"": 3.715, ""purity"": 0.968, ""word_count"": 318}]"
1295,2,ROLE_MAPPING_OK,1,0,,0.9841,0.9967,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.9, ""counselor_sec"": 133.134, ""purity"": 0.9933, ""word_count"": 352}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 55.765, ""counselor_sec"": 0.441, ""purity"": 0.9922, ""word_count"": 136}]"
1850,3,ROLE_MAPPING_OK,2,"0,1",,0.9108,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 5.74, ""counselor_sec"": 169.997, ""purity"": 0.9673, ""word_count"": 466}, {""speaker"": 1, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 12.719, ""purity"": 1.0, ""word_count"": 33}, {""speaker"": 2, ""role"": ""CHILD"", ""child_sec"": 58.6122, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 155}]"
1963,2,ROLE_MAPPING_OK,1,0,,0.9302,0.9076,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 6.14, ""counselor_sec"": 104.1649, ""purity"": 0.9443, ""word_count"": 303}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 81.78, ""counselor_sec"": 10.6, ""purity"": 0.8853, ""word_count"": 251}]"
2610,3,ROLE_MAPPING_OK,"1,2",0,,1.0,0.99,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 154.9451, ""purity"": 1.0, ""word_count"": 413}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 148.5657, ""counselor_sec"": 1.482, ""purity"": 0.9901, ""word_count"": 389}, {""speaker"": 2, ""role"": ""CHILD"", ""child_sec"": 7.572, ""counselor_sec"": 0.0799, ""purity"": 0.9896, ""word_count"": 21}]"
1159,3,ROLE_MAPPING_OK,1,0,2,0.9841,0.997,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 167.6221, ""purity"": 1.0, ""word_count"": 422}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 97.1721, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 242}, {""speaker"": 2, ""role"": ""MIXED"", ""child_sec"": 1.57, ""counselor_sec"": 0.5, ""purity"": 0.7585, ""word_count"": 7}]"
1166,2,ROLE_MAPPING_OK,1,0,,0.9855,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.0, ""counselor_sec"": 151.0147, ""purity"": 0.9934, ""word_count"": 387}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 67.9541, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 173}]"
3447,2,ROLE_MAPPING_OK,1,0,,0.9795,0.8919,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 2.12, ""counselor_sec"": 147.8141, ""purity"": 0.9859, ""word_count"": 407}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 101.099, ""counselor_sec"": 17.919, ""purity"": 0.8494, ""word_count"": 319}]"
