sample_id,status,speaker_count,speaker_ids,word_count,audio_duration_secs,language_code,language_probability,elapsed_seconds,error
1936,SUCCESS,2,"speaker_0,speaker_1",707,742.1264375,kor,1.0,10.15,
1005,SUCCESS,2,"speaker_0,speaker_1",825,734.0930625,kor,1.0,12.51,
3196,SUCCESS,2,"speaker_0,speaker_1",812,594.57025,kor,1.0,11.82,
2299,SUCCESS,2,"speaker_0,speaker_1",747,673.0993125,kor,1.0,10.43,
1383,SUCCESS,2,"speaker_0,speaker_1",723,532.1940625,kor,1.0,12.55,
1656,SUCCESS,2,"speaker_0,speaker_1",705,508.395125,kor,1.0,8.9,
2270,SUCCESS,2,"speaker_0,speaker_1",649,804.2393125,kor,1.0,11.29,
0151,SUCCESS,2,"speaker_0,speaker_1",644,771.2284375,kor,1.0,9.89,
1451,SUCCESS,2,"speaker_0,speaker_1",658,885.2255625,kor,1.0,9.79,
0545,SUCCESS,2,"speaker_0,speaker_1",443,570.4380625,kor,1.0,8.06,
3660,SUCCESS,2,"speaker_0,speaker_1",593,383.5513125,kor,1.0,12.04,
0615,SUCCESS,2,"speaker_0,speaker_1",510,388.95975,kor,1.0,14.18,
0588,SUCCESS,2,"speaker_0,speaker_1",508,735.4235,kor,1.0,8.77,
3340,SUCCESS,2,"speaker_0,speaker_1",712,536.846125,kor,1.0,15.74,
3262,SUCCESS,2,"speaker_0,speaker_1",655,357.4990625,kor,1.0,11.2,
2109,SUCCESS,2,"speaker_0,speaker_1",1145,955.18075,kor,1.0,12.76,
3140,SKIPPED_EXISTING,2,"speaker_0,speaker_1",602,666.705625,kor,1.0,,
3549,SUCCESS,1,speaker_0,550,623.3428125,kor,1.0,7.88,
2558,SUCCESS,2,"speaker_0,speaker_1",547,568.4540625,kor,1.0,8.39,
2029,SUCCESS,2,"speaker_0,speaker_1",619,449.9896875,kor,1.0,15.58,
2434,SUCCESS,2,"speaker_0,speaker_1",846,1143.4881875,kor,1.0,10.19,
1443,SUCCESS,2,"speaker_0,speaker_1",851,684.69875,kor,1.0,10.84,
2106,SUCCESS,2,"speaker_0,speaker_1",711,668.0015625,kor,1.0,10.74,
0767,SUCCESS,2,"speaker_0,speaker_1",769,604.8914375,kor,1.0,13.85,
1951,SUCCESS,2,"speaker_0,speaker_1",768,527.0726875,kor,1.0,13.53,
3455,SUCCESS,2,"speaker_0,speaker_1",656,590.417125,kor,1.0,10.89,
3370,SUCCESS,2,"speaker_0,speaker_1",538,579.38,kor,1.0,11.85,
1650,SUCCESS,2,"speaker_0,speaker_1",887,786.5195,kor,1.0,14.13,
3385,SUCCESS,2,"speaker_0,speaker_1",747,816.620375,kor,1.0,13.45,
0657,SUCCESS,2,"speaker_0,speaker_1",669,871.659375,kor,1.0,11.26,
5074,SUCCESS,2,"speaker_0,speaker_1",551,610.7893125,kor,1.0,11.39,
