sample_id,speaker_count,mapping_status,child_speaker_ids,counselor_speaker_ids,mixed_speaker_ids,child_coverage,counselor_coverage,speaker_mapping_json
1583,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,0.9775,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 149.377, ""purity"": 1.0, ""word_count"": 484}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 159.549, ""counselor_sec"": 3.431, ""purity"": 0.9789, ""word_count"": 457}]"
0128,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 103.467, ""purity"": 1.0, ""word_count"": 257}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 93.625, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 250}]"
1062,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 130.047, ""purity"": 1.0, ""word_count"": 464}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 93.824, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 306}]"
1295,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,0.9923,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.474, ""counselor_sec"": 114.752, ""purity"": 0.9959, ""word_count"": 345}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 60.986, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 138}]"
1850,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,0.9961,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 142.461, ""purity"": 1.0, ""word_count"": 473}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 63.557, ""counselor_sec"": 0.554, ""purity"": 0.9914, ""word_count"": 181}]"
1963,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 81.304, ""purity"": 1.0, ""word_count"": 317}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 59.038, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 233}]"
2610,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,0.9989,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 121.026, ""purity"": 1.0, ""word_count"": 421}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 126.957, ""counselor_sec"": 0.129, ""purity"": 0.999, ""word_count"": 406}]"
1159,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 155.884, ""purity"": 1.0, ""word_count"": 416}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 112.283, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 244}]"
1166,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 134.487, ""purity"": 1.0, ""word_count"": 387}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 76.595, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 171}]"
3447,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,0.9975,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 124.641, ""purity"": 1.0, ""word_count"": 446}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 79.12, ""counselor_sec"": 0.309, ""purity"": 0.9961, ""word_count"": 270}]"
3807,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 122.927, ""purity"": 1.0, ""word_count"": 418}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 72.639, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 227}]"
1225,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,0.9955,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 142.106, ""purity"": 1.0, ""word_count"": 382}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 89.316, ""counselor_sec"": 0.646, ""purity"": 0.9928, ""word_count"": 189}]"
5050,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 116.278, ""purity"": 1.0, ""word_count"": 371}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 74.657, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 224}]"
3570,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 76.049, ""purity"": 1.0, ""word_count"": 359}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 37.007, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 147}]"
0447,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,0.9897,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 147.71, ""purity"": 1.0, ""word_count"": 361}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 86.559, ""counselor_sec"": 1.534, ""purity"": 0.9826, ""word_count"": 167}]"
0607,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,0.9955,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.455, ""counselor_sec"": 124.662, ""purity"": 0.9964, ""word_count"": 353}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 100.888, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 241}]"
